trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.01, 'e': 0.9999999794416781}",25,0,-203.81145649992456,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
146,False,"{'a': 0.01, 'e': 0.9999999783876303}",35,0,-205.65311071251205,"{0: 17, 1: 9, 2: 6, 3: 0, 4: 3}",0
147,False,"{'a': 0.01, 'e': 0.9999999772795406}",20,0,-43.53110971968285,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
148,False,"{'a': 0.01, 'e': 0.9999999761146378}",30,0,-191.90933589052725,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
149,False,"{'a': 0.01, 'e': 0.999999974890009}",30,0,-208.08807310778604,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
150,False,"{'a': 0.01, 'e': 0.9999999736025924}",30,0,-89.48681260318675,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
151,False,"{'a': 0.01, 'e': 0.9999999722491683}",20,0,-176.27801665690208,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
152,False,"{'a': 0.01, 'e': 0.999999970826353}",20,0,-103.98673077364337,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
153,False,"{'a': 0.01, 'e': 0.9999999693305879}",20,0,-90.41182914090797,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
154,False,"{'a': 0.01, 'e': 0.9999999677581336}",20,0,-53.02310535781461,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.9999999661050578}",25,0,-44.19615618654836,"{0: 15, 1: 8, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.9999999643672272}",25,3,-130.41133001424566,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 2}",1
157,False,"{'a': 0.01, 'e': 0.9999999625402959}",20,0,-136.9630487549468,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
158,False,"{'a': 0.01, 'e': 0.9999999606196959}",25,0,-154.13283276448556,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
159,False,"{'a': 0.01, 'e': 0.9999999586006244}",25,0,-68.90114964931425,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.9999999564780332}",25,0,-83.83369591001491,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
161,False,"{'a': 0.01, 'e': 0.9999999542466144}",30,13,-65.35961264134109,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.9999999519007884}",20,0,-166.8758100037291,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
163,False,"{'a': 0.01, 'e': 0.9999999494346891}",20,0,-80.85352862099558,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
